time PopRad  PopAct  
0    250     250     
2    238     250     
4    227     248     
6    215     244     
8    204     238     
10   191     233     
12   177     223     
14   165     217     
16   155     209     
18   143     201     
20   137     193     
22   129     187     
24   122     179     
26   109     170     
28   98      163     
30   93      155     
32   82      143     
34   80      138     
36   77      126     
38   72      122     
40   68      116     
42   66      111     
44   63      104     
46   60      97      
48   54      96      
50   53      89      
52   51      83      
54   50      77      
56   48      76      
58   46      71      
60   43      67      
62   39      62      
64   38      56      
66   34      56      
68   32      53      
70   31      51      
72   29      50      
74   28      49      
76   26      48      
78   24      45      
80   24      39      
82   22      36      
84   22      35      
86   20      32      
88   19      29      
90   19      27      
92   18      27      
94   18      27      
96   17      26      
98   17      24      
