t          NR          NA
0.0000    250.0000      0.0000
2.0000    233.8809     15.0400
4.0000    218.8012     27.1633
6.0000    204.6937     36.8101
8.0000    191.4958     44.3595
10.0000    179.1489     50.1376
12.0000    167.5980     54.4249
14.0000    156.7919     57.4623
16.0000    146.6826     59.4565
18.0000    137.2250     60.5843
20.0000    128.3773     60.9972
22.0000    120.1000     60.8243
24.0000    112.3564     60.1759
26.0000    105.1121     59.1455
28.0000     98.3348     57.8127
30.0000     91.9946     56.2448
32.0000     86.0631     54.4983
34.0000     80.5141     52.6211
36.0000     75.3228     50.6531
38.0000     70.4663     48.6275
40.0000     65.9229     46.5720
42.0000     61.6724     44.5092
44.0000     57.6960     42.4577
46.0000     53.9760     40.4326
48.0000     50.4958     38.4459
50.0000     47.2400     36.5069
52.0000     44.1942     34.6231
54.0000     41.3447     32.7999
56.0000     38.6790     31.0413
58.0000     36.1851     29.3499
60.0000     33.8520     27.7275
62.0000     31.6694     26.1747
64.0000     29.6274     24.6917
66.0000     27.7172     23.2777
68.0000     25.9301     21.9319
70.0000     24.2582     20.6528
72.0000     22.6941     19.4387
74.0000     21.2309     18.2877
76.0000     19.8620     17.1976
78.0000     18.5814     16.1663
80.0000     17.3833     15.1914
82.0000     16.2625     14.2707
84.0000     15.2140     13.4017
86.0000     14.2330     12.5821
88.0000     13.3153     11.8097
90.0000     12.4568     11.0820
92.0000     11.6536     10.3968
94.0000     10.9023      9.7520
96.0000     10.1993      9.1455
98.0000      9.5417      8.5752
100.0000      8.9265      8.0392
