time PopRad  PopAct  
0    250     0       
2    238     12      
4    227     21      
6    215     29      
8    204     34      
10   191     42      
12   177     46      
14   165     52      
16   155     54      
18   143     58      
20   137     56      
22   129     58      
24   122     57      
26   109     61      
28   98      65      
30   93      62      
32   82      61      
34   80      58      
36   77      49      
38   72      50      
40   68      48      
42   66      45      
44   63      41      
46   60      37      
48   54      42      
50   53      36      
52   51      32      
54   50      27      
56   48      28      
58   46      25      
60   43      24      
62   39      23      
64   38      18      
66   34      22      
68   32      21      
70   31      20      
72   29      21      
74   28      21      
76   26      22      
78   24      21      
80   24      15      
82   22      14      
84   22      13      
86   20      12      
88   19      10      
90   19      8       
92   18      9       
94   18      9       
96   17      9       
98   17      7       
