time PopRad  PopAct  
0    250     250     
1    238     250     
2    227     248     
3    215     244     
4    204     238     
5    191     233     
6    177     223     
7    165     217     
8    155     209     
9    143     201     
10   137     193     
11   129     187     
12   122     179     
13   109     170     
14   98      163     
15   93      155     
16   82      143     
17   80      138     
18   77      126     
19   72      122     
20   68      116     
21   66      111     
22   63      104     
23   60      97      
24   54      96      
25   53      89      
26   51      83      
27   50      77      
28   48      76      
29   46      71      
30   43      67      
31   39      62      
32   38      56      
33   34      56      
34   32      53      
35   31      51      
36   29      50      
37   28      49      
38   26      48      
39   24      45      
40   24      39      
41   22      36      
42   22      35      
43   20      32      
44   19      29      
45   19      27      
46   18      27      
47   18      27      
48   17      26      
49   17      24      
